"topic_cluster","search_term","search_intent","audience_persona","funnel_stage","geographic_market","time_period_examined","search_type","trend_direction","regional_interest_observation","related_top_searches","related_rising_searches","serp_format_and_dominant_results","competitor_or_alternative_observed","existing_target_url","recommended_action","priority_score","reason_for_priority","data_evidence_note","client_confirmation_needed"
"0 - METHOD AND LIMITATIONS (read first)","(not a search term - study metadata)","n/a","n/a","n/a","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google Trends 'Web Search' property, geo=IN; plus live SERP observation","GOOGLE TRENDS WAS REACHED BUT CANNOT SUPPORT THIS KEYWORD SET. The scriptable endpoint trends.google.com/trends/api/explore initially returned HTTP 429 (Too Many Requests); after cookie priming it returned HTTP 200 and widget tokens, and the multiline/comparedgeo/relatedsearches widgets returned data. However, across 44 keyword-timeframe queries the DENSEST series had only 6.1% of its weeks above zero - every keyword sits at or below Google's reporting threshold for India. Google therefore publishes no usable trend line. NO trend direction has been invented for any row. Intermittent HTTP 429s also hit 5 query rows; those are named in data_evidence_note. pytrends was not installed and no authorised Keyword Planner or Ahrefs access exists, so NO search volume, CPC or keyword-difficulty figure appears anywhere in this file.","Sub-region data returned for 15 of 44 query rows, but always from a sub-threshold sample, so regional readings are indicative only and must not be used to allocate budget by state.","unknown - no authorised data. Google Trends returned an EMPTY related-queries widget for 44 of 44 query rows (i.e. all of them). This is Google's behaviour below threshold, not a scraping failure.","unknown - no authorised data - see related_top_searches. No rising-query data was obtainable for any term.","ALL serp_format_and_dominant_results cells are SERP-OBSERVED 2026-09-23 via the WebSearch tool. THAT TOOL'S INDEX IS DOCUMENTED AS US-ONLY/US-WEIGHTED. Rows where this likely distorts the observation carry the string 'FLAG:' in that cell and a matching warning in data_evidence_note. Rows whose SERP returned Indian vendors and Indian vocabulary (RA bill, BOQ, indent, GST, TDS) are treated as reliable. Position/ranking order was NOT observable - only which results appear.","Competitors named in this file are those actually seen in observed SERPs on 2026-09-23, not a market map.","n/a - see individual rows","Read priority_score as product fit + evidenced buying intent + our ability to publish better evidence. It is NOT a volume estimate, because no authorised volume source exists.","1","This row exists so no reader mistakes the SERP observations for ranked keyword data. The single biggest limitation: there is no search-volume input at all, so relative sizing between terms is unknown.","Method: Google Trends API (India, 5-y and 12-m) attempted first and recorded verbatim; then 47 in-scope terms and 6 excluded terms assessed by live SERP observation on 2026-09-23. Raw Trends JSON retained in the working scratchpad.","CLIENT ACTION: to get real volume/competition data, authorise Google Keyword Planner (via a Google Ads account) or Ahrefs/Semrush, and re-run the India SERP observations from an India-located browser."
"A - core category","construction erp software india","commercial investigation","Owner/CMD; IT or ops head","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 3 of 262 weeks above zero; 12-m: 3 of 53 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","Google Trends India sub-region interest (2026-09-23, index 0-100, relative): Maharashtra 0, Gujarat 0, Kerala 0, Tamil Nadu 0, Karnataka 0, Madhya Pradesh 0, Telangana 0, Uttar Pradesh 0. Sub-threshold sample — indicative only.","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: dominated by 'Top N' listicles (constructionplacements, RDash, Inniti, nyggs blog) plus directory/aggregator (SourceForge India) and vendor homepages (StrategicERP, In4Velocity, NYGGS, Vaps). Results are strongly India-specific - snippets reference GST, TDS, WCT, RA bills. No forums, no YouTube, no government PDFs.","NYGGS; StrategicERP; In4Velocity/In4Suite; RDash; Highrise","/epc-erp-software (closest existing); no dedicated /construction-erp-software-india route","CREATE new page /construction-erp-software-india - a buyer's shortlist page with an evidence table (module coverage, RA-billing depth, deployment time, India tax handling) rather than another generic 'Top 10'","1","Head commercial term for the exact product. SERP is all listicles and thin vendor pages; sotyn.ai can publish a genuinely better-evidenced comparison because it owns real RA-billing/material-reconciliation logic and can show worked Indian examples. Buying intent is explicit.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 3 of 262 weeks above zero; 12-m: 3 of 53 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm sotyn.ai is willing to publish an honest comparison table that names competitors"
"A - core category","epc erp software","commercial investigation","Owner/CMD; project director","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 3 of 262 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","no Indian sub-region rose above Google Trends' reporting threshold for this keyword on 2026-09-23","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: mostly vendor solution pages (Ramco, IFS, ERPNext/Frappe, ebizframe, OctaBees, eresource, Silent Infotech) plus one vendor 'Top 10 providers' listicle. Mixed geography - Ramco/ERPNext/eresource are India-origin, IFS is foreign. FLAG: likely US/global weighting; an India SERP would probably surface more Indian vendors.","Ramco EPC; ERPNext (Frappe); OctaBees; eresource; IFS","/epc-erp-software (exact match, already exists)","OPTIMISE existing /epc-erp-software - add an EPC-specific evidence block (engineering deliverables to procurement to RA billing chain) and internal links to /solutions/industrial-epc and /solutions/solar-epc","1","Exact-match page already exists so this is a strengthening play, not new build. Competitors rank thin solution pages; sotyn.ai can out-evidence them with real EPC workflow detail. High buying intent.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 3 of 262 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. Partial API failures during the run: today 5-y related_queries: HTTP 429; today 12-m timeseries: HTTP 429. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","None"
"A - core category","contractor erp software","commercial investigation","Owner/CMD","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: entirely US/North-American - MSDynamicsWorld 'for U.S. contractors', Penta, Jonas, NetSuite, Premier, erpfocus, erpsoftwareblog. Zero India-specific results. FLAG: strong US index distortion - this row's observation is probably NOT representative of an India SERP.","Premier Construction Software; Sage 300 CRE; Penta; Jonas; NetSuite","/epc-erp-software; /platform","DO NOT build a dedicated page on the bare term. Use 'contractor ERP software India' as a section/H2 inside /construction-erp-software-india instead","3","Product fit is good but the observed SERP is US-only, so we cannot verify Indian intent from this evidence. Building on the unqualified term risks competing with US incumbents for irrelevant traffic.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: today 5-y timeseries: HTTP 429. No volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","Client to re-run this query on an India-located Google before committing budget"
"A - core category","construction management software india","commercial investigation","Owner/CMD; project manager","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 16 of 262 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","Google Trends India sub-region interest (2026-09-23, index 0-100, relative): Delhi 100, Telangana 100, Karnataka 100, Maharashtra 0, Haryana 0, Tamil Nadu 0, Gujarat 0, Punjab 0. Sub-threshold sample — indicative only.","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: heavy directory/aggregator presence (SoftwareSuggest India, Techimply, Capterra-style listings) plus India vendor pages (Onsite, Buildrun, Collabworx, RDash) and Oracle India. India-specific - snippets cite RERA, occupancy certificates, fire NOCs, per-user pricing in Rs.","Onsite (onsiteteams); Buildrun; RDash; Zoho Projects; Oracle","/platform; no dedicated construction-management-software page","OPTIMISE /platform to answer 'construction management software India' explicitly, and add a comparison row on /compare. Do not build a separate near-duplicate page","2","Adjacent rather than exact - many searchers want lightweight PM, not ERP. Still worth owning because it is a common entry term for the same buyer. Directories dominate, which caps realistic ranking.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 16 of 262 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. Partial API failures during the run: today 12-m timeseries: HTTP 429; today 12-m geo: HTTP 429; today 12-m related_queries: HTTP 429. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm whether sotyn.ai wants to be positioned as 'construction management software' at all, or strictly as ERP"
"B - contractor type","mep contractor software","commercial investigation","Owner/CMD of MEP firm; project manager","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: almost entirely US/UK estimating and fabrication tools - MSUITE, McCormick, Trimble Estimation MEP, Ensign (UK), Stratus, G2, plus one stray PDF. Content is takeoff/estimating and BIM-adjacent, not ERP. FLAG: strong US/UK index distortion; India SERP likely different.","Trimble Estimation MEP; McCormick; Ensign (UK); MSUITE","/solutions/mep-contractors (already exists)","OPTIMISE /solutions/mep-contractors to target 'MEP contractor software India' / 'ERP for MEP contractors' rather than the bare term, and lead with RA billing + subcontractor billing evidence","2","Strong product fit and the page already exists, but the observed SERP is foreign and estimating-led, so the bare term is not the right target. The India-qualified variant is.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: today 5-y timeseries: HTTP 429; today 5-y geo: HTTP 429. No volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","Client to verify India SERP for this term"
"B - contractor type","mepf contractor erp software","commercial investigation","Owner/CMD of MEPF firm; billing engineer","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 1 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","no Indian sub-region rose above Google Trends' reporting threshold for this keyword on 2026-09-23","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23 (query: MEPF contractor ERP software billing site India): clean India-vendor SERP - eresource Nfra, Bhoomi ERP, Kanix Highrise, BNBRun, IBSB, constructionestimatorindia, nyggs. Snippets explicitly mention RA billing, subcontractor billing, payment follow-up. No directories, no foreign vendors, no forums.","eresource Nfra; Bhoomi ERP; Kanix Highrise; BNBRun ERP","/solutions/mep-contractors","OPTIMISE /solutions/mep-contractors to cover MEPF explicitly (fire-fighting included) - this spelling is the India-native one and the SERP proves it","1","Best India-intent signal in cluster B. Every ranking result is an Indian ERP vendor talking about RA billing - the exact thing sotyn.ai does. Competing pages are thin vendor brochures we can beat on evidence.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 1 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm sotyn.ai supports fire-fighting scope within the MEP solution"
"B - contractor type","electrical contractor billing software india","commercial/transactional","Billing engineer; accounts; owner of electrical contracting firm","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: mixed and contaminated - India SMB billing tools (Vyapar 'free billing software for electrical shop'), directories (Capterra India, SoftwareSuggest), US field-service tools (ServiceTitan, Werx, Service Fusion), and low-quality listicles (wifitalents). One India result did mention GST + TDS + retention automation. Intent is split between shop/retail invoicing and project contractor billing.","Vyapar; ServiceTitan; Capterra India; SoftwareSuggest","/ra-billing-software; /solutions/mep-contractors","OPTIMISE /ra-billing-software with an electrical-contractor section; do not build a standalone page until intent split is verified","3","Product fit is real but the term pulls retail/shop invoicing (Vyapar) as much as project billing. Medium confidence that traffic would be our buyer.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Client to confirm whether electrical contractors are an ICP or an accidental segment"
"B - contractor type","hvac contractor management software","commercial investigation","Owner of HVAC contracting firm","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 1 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","Google Trends India sub-region interest (2026-09-23, index 0-100, relative): Bihar 0. Sub-threshold sample — indicative only.","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: overwhelmingly US field-service management - ServiceTitan, Housecall Pro, ServiceTrade, Dataforma, Fieldwire, SoftwareAdvice, Facilio. Only one India result (ServiceCRM.co.in). The dominant interpretation is residential/commercial service dispatch, NOT project ERP. FLAG: US index distortion AND genuine intent mismatch.","ServiceTitan; Housecall Pro; ServiceTrade; Facilio","/solutions/mep-contractors","DO NOT target. Mention HVAC only as a scope line inside /solutions/mep-contractors","5","FLAGGED - sotyn.ai could NOT realistically publish a better result here. The ranking intent is field-service dispatch software for service businesses, which is a different product. Chasing it would produce unqualified traffic.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 1 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","None - recommend dropping"
"B - contractor type","fire fighting contractor billing software india","commercial/transactional","Billing engineer; owner of firefighting contracting firm","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","no Indian sub-region rose above Google Trends' reporting threshold for this keyword on 2026-09-23","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: badly mixed - US fire-protection field service (ServiceTrade, BuildOps, Simpro, Smart Service, FieldPromax) PLUS Indian HIRING directories (IndiaMART fire fighting service, extinctfire, basicelements) PLUS a Wikipedia company page. No Indian firefighting-billing software ranks. Search engine cannot separate 'software for fire contractors' from 'hire a fire contractor'.","ServiceTrade; Simpro; BuildOps; (IndiaMART directory - hiring intent)","/solutions/mep-contractors","DO NOT target as a standalone page. Cover firefighting as a scope line under MEPF on /solutions/mep-contractors","4","Genuine product fit but the SERP is polluted with contractor-hiring directories and US field-service tools. Low confidence we can win or that the traffic converts.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Client to confirm firefighting contractors are a real segment before any investment"
