Subcontractor bill verification checklist
18 checks · sotyn.ai · https://www.sotyn.ai/resources/subcontractor-bill-verification-checklist

How to use this
,Open the file in Excel or Sheets and keep one row per check against each bill you certify.
,Start with the recoveries section — advances and material issued are where the largest single misses usually are.
,"If a check cannot be answered from documents, that is the finding. Write it in Notes rather than passing the bill."

#,Section,Check,Why it matters,What to look at,Done (Y/N),Owner,Date,Notes
1,The measurement,"The claimed quantity is measured, not estimated.",A bill built from a percentage of completion is an opinion with a number on it.,Measurement sheet or MB entry with dates and locations.,,,,
2,The measurement,Your own engineer recorded or verified the measurement.,Accepting the subcontractor's measurement unchecked is the single most expensive habit in subcontract billing.,"Whose signature is on the measurement, and when it was taken.",,,,
3,The measurement,Cumulative quantity is checked against the previous bill and the contract quantity.,Over-billing shows up in the running total long before it shows up in one bill.,Previous bill's cumulative figure — does this bill start where that one ended?,,,,
4,The measurement,Work billed matches work actually approved in progress records.,"If the DPR and the bill disagree, one of them is wrong and it matters which.",Daily reports or progress records for the billing period.,,,,
5,The measurement,Extra items and variations are separately identified and authorised.,Variations buried inside a normal line item become permanent and unquestioned.,Is there a written authorisation for each extra item claimed?,,,,
6,The rate,Every rate matches the signed work order or rate master.,Typed rates drift. This check takes minutes and finds real money.,"Work order rate vs billed rate, line by line.",,,,
7,The rate,"Rates for extra items were agreed before the work, not after.",A rate negotiated after work is complete is a rate you will lose.,Date of the rate approval vs the date the work was done.,,,,
8,The rate,Unit of measurement matches the contract.,"Running metre billed against square metre rates is a quiet, repeatable error.",Unit column on the bill against the work order.,,,,
9,The rate,"Escalation, if any, is applied per the contract clause.",Escalation applied generously is rarely noticed until the project P&L is final.,"The clause itself, and the index or basis it names.",,,,
10,Recoveries and deductions,All advances paid are recovered per the agreed schedule.,"This is the most commonly missed deduction, and it compounds across bills.","Ledger of advances against this package, and what has been recovered so far.",,,,
11,Recoveries and deductions,Material issued by you is charged at the agreed rate.,Material issued and never recovered is a direct transfer of margin.,Material issue records for the period against the recovery line on the bill.,,,,
12,Recoveries and deductions,"Debits for damage, rework or idle-machinery use are applied.",Debits agreed verbally at site rarely reach the bill.,Site correspondence for the period — was anything agreed that is not on this bill?,,,,
13,Recoveries and deductions,Retention is deducted at the contract percentage.,"Two bills on one package computed two different ways is common, and always in one direction.",Retention on this bill against retention on the last one.,,,,
14,Recoveries and deductions,TDS and any statutory deduction are applied on the correct base.,"Deducting on the wrong base is a compliance problem, not just an arithmetic one.","Confirm the base with your accountant once, then apply it the same way every time.",,,,
15,Certification and payment,The certified value is signed by someone authorised to certify it.,Certification is a commitment to pay. It deserves a name against it.,"Who certified, on what date, and whether they were authorised to.",,,,
16,Certification and payment,The bill number and period are unique and not previously certified.,Duplicate certification happens most often when a bill is revised and resubmitted.,Register of certified bills for this package.,,,,
17,Certification and payment,"Retention held to date is visible, with its release conditions.",Retention nobody tracks becomes retention nobody claims — or releases twice.,"Retention ledger per package, with defect liability dates.",,,,
18,Certification and payment,"The payment matches the certified value, and the difference is explained if not.",Payments that quietly differ from certifications make every later reconciliation impossible.,Bank payment against certified amount for the last five bills.,,,,

"One bill, checked"
"Illustrative figures for a single package — sample data, not a customer's account."
,Claimed,Subcontractor,"1,940 m conduiting for the period"
,Measured,Your site engineer,"1,860 m measured and recorded against the MB"
,Priced,From the rate master,"₹42/m agreed in the work order → ₹78,120 gross"
,Recovered,Accounts,"Advance ₹15,000 · material issued ₹6,400"
,Deducted,By rule,"Retention 5% = ₹3,906 · TDS 1% = ₹781"
,Certified,Authorised approver,"₹52,033 net, with the 80 m difference raised before certification"

"Free to use and share. No sign-up, no attribution required."
Workflow page: https://www.sotyn.ai/subcontractor-billing-software
