url,path,template,http_status,indexability,canonical,title,title_length,meta_description,meta_description_length,h1,main_intent,main_cta,word_count,internal_links_in,internal_links_out,schema_detected,render_mode,page_speed_concern,conversion_relevance,content_gap,recommended_action,priority
https://www.sotyn.ai/,/,home,200,indexable,https://www.sotyn.ai,Construction ERP Software for Contractors in India | sotyn.ai,61,"The EPC ERP built inside a 535+ project contracting company — projects, procurement, billing, payroll & weekly scorecards in one login, in 11 languages. Live in 30 days. If it’s not in SOTYN, it didn’t happen.",209,Contracting without the chaos.,commercial,Commission your 30-day pilot -> #pilot,3021,40,9,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; FAQPage; Question; Answer,static HTML (Astro SSG) - H1 and body copy present in raw response,medium: 120KB HTML; 1 render-blocking third-party CSS (Google Fonts),high,"no blog/insights hub linked from a 3,021-word page",keep,P3
https://www.sotyn.ai/404,/404,error,200,"noindex, nofollow",(none),Page not found — sotyn.ai,25,That page doesn't exist. Head back to sotyn.ai.,47,This page took an unscheduled site visit.,navigational,Back to home -> /,105,0,2,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 19KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",low,"thin: 105 words (by design, noindex)",no action,P3
https://www.sotyn.ai/about,/about,about,200,indexable,https://www.sotyn.ai/about,About & case study — built by contractors who were losing money too | sotyn.ai,78,"sotyn.ai was built by Secured Engineers Pvt. Ltd., a 14-year-old EPC company, to run its own business first. See what it did for them — 535+ projects, 93% early delivery, ₹11.7 Cr+ savings tracked — and why they now offer it to EPC contractors across India.",257,Built by contractors who were losing money too.,navigational,Book a free demo -> /#demo,555,1,1,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 32KB HTML, 3 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",medium,only 1 internal link out; no per-customer case study pages,improve,P2
https://www.sotyn.ai/compare,/compare,compare hub,200,indexable,https://www.sotyn.ai/compare,"sotyn.ai vs RDash, Powerplay, Procore & More | Honest Comparisons",65,"Comparing construction & EPC software? Honest, side-by-side breakdowns of sotyn.ai versus RDash, Powerplay, Onsite, Procore, Zoho and Odoo — including where each rival is strong.",178,How sotyn.ai stacks up.,commercial,Book a free demo -> /#demo,218,7,7,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; BreadcrumbList; ListItem,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 25KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",high,"thin hub: 218 words, no comparison criteria explained",improve,P1
https://www.sotyn.ai/compare/sotyn-vs-odoo,/compare/sotyn-vs-odoo,compare template,200,indexable,https://www.sotyn.ai/compare/sotyn-vs-odoo,sotyn.ai vs Odoo: Done-for-You EPC ERP vs Open-Source (2026),60,"sotyn.ai vs Odoo — a done-for-you, EPC-native ERP versus a flexible open-source platform that depends on an implementer. Compare fit, billing and onboarding.",157,sotyn.ai vs Odoo,commercial,Book a free demo -> /#demo,355,1,2,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; BreadcrumbList; ListItem,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 30KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",high,no FAQ schema; only 2 internal links out; no pricing comparison,improve,P2
https://www.sotyn.ai/compare/sotyn-vs-onsite,/compare/sotyn-vs-onsite,compare template,200,indexable,https://www.sotyn.ai/compare/sotyn-vs-onsite,sotyn.ai vs Onsite: EPC ERP vs Site Tracker (2026),50,"sotyn.ai vs Onsite — per-company pricing with unlimited site users against Onsite's published per-user pricing. Compare EPC billing, procurement and payroll.",157,sotyn.ai vs Onsite,commercial,Book a free demo -> /#demo,394,1,2,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; BreadcrumbList; ListItem,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 30KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",high,no FAQ schema; only 2 internal links out; no pricing comparison,improve,P2
https://www.sotyn.ai/compare/sotyn-vs-powerplay,/compare/sotyn-vs-powerplay,compare template,200,indexable,https://www.sotyn.ai/compare/sotyn-vs-powerplay,sotyn.ai vs Powerplay: EPC ERP vs Site App (2026),49,"sotyn.ai vs Powerplay — a full quote-to-cash EPC ERP versus a site-collaboration app. Compare billing, procurement, payroll and owner dashboards.",145,sotyn.ai vs Powerplay,commercial,Book a free demo -> /#demo,348,2,2,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; BreadcrumbList; ListItem,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 30KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",high,no FAQ schema; only 2 internal links out; no pricing comparison,improve,P2
https://www.sotyn.ai/compare/sotyn-vs-procore,/compare/sotyn-vs-procore,compare template,200,indexable,https://www.sotyn.ai/compare/sotyn-vs-procore,sotyn.ai vs Procore: India-Priced EPC ERP vs Global Enterprise (2026),69,"sotyn.ai vs Procore — India-priced, EPC-native and GST-ready versus a global enterprise construction platform. Compare fit, price and billing for Indian EPC.",157,sotyn.ai vs Procore,commercial,Book a free demo -> /#demo,359,2,2,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; BreadcrumbList; ListItem,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 30KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",high,no FAQ schema; only 2 internal links out; no pricing comparison,improve,P2
https://www.sotyn.ai/compare/sotyn-vs-rdash,/compare/sotyn-vs-rdash,compare template,200,indexable,https://www.sotyn.ai/compare/sotyn-vs-rdash,sotyn.ai vs RDash: An Honest Comparison for EPC Contractors (2026),66,"sotyn.ai vs RDash for EPC contractors — EPC-native billing, AI BOQ quoting and ₹/day TOC costing, built by a live EPC company. An honest, side-by-side comparison.",162,sotyn.ai vs RDash,commercial,Book a free demo -> /#demo,392,3,2,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; BreadcrumbList; ListItem,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 30KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",high,no FAQ schema; only 2 internal links out; no pricing comparison,improve,P2
https://www.sotyn.ai/compare/sotyn-vs-zoho,/compare/sotyn-vs-zoho,compare template,200,indexable,https://www.sotyn.ai/compare/sotyn-vs-zoho,sotyn.ai vs Zoho: EPC-Ready ERP vs Horizontal Suite (2026),58,"sotyn.ai vs Zoho — a vertical ERP that ships EPC-ready versus a horizontal suite you configure yourself. Compare billing, BOQ quoting and setup effort.",151,sotyn.ai vs Zoho,commercial,Book a free demo -> /#demo,353,1,2,Organization; Person; PostalAddress; Country; ContactPoint; SoftwareApplication; AggregateOffer; BreadcrumbList; ListItem,static HTML (Astro SSG) - H1 and body copy present in raw response,"low: 30KB HTML, 2 img all sized, below-fold img lazy; 1 render-blocking third-party CSS (Google Fonts)",high,no FAQ schema; only 2 internal links out; no pricing comparison,improve,P2
